False Positive Rate,True Positive Rate,Threshold
0.0750620347394541,0.8114143920595533,0.12868749
0.07515065579581709,0.8120347394540943,0.12868062
0.07523927685218008,0.8120347394540943,0.12867705
0.07568238213399504,0.8126550868486352,0.12867256
0.07577100319035802,0.8126550868486352,0.12866975
0.07621410847217298,0.8138957816377171,0.12865738
0.07692307692307693,0.8138957816377171,0.12858528
0.07736618220489189,0.8138957816377171,0.12858061
0.07789790854306983,0.8138957816377171,0.12857741
0.07896136121942574,0.8138957816377171,0.12857141
0.08197447713576746,0.8176178660049628,0.12857055
0.09916696207018788,0.8380893300248139,0.12856268
0.09934420418291386,0.8380893300248139,0.12849444
0.09987593052109181,0.8380893300248139,0.12848603
0.10023041474654378,0.8380893300248139,0.12848282
0.10155973059198865,0.8393300248138957,0.12848208
0.10164835164835165,0.8393300248138957,0.12847997
